x,y,r,g,b,cluster,cluster_cluster
350.0,6.0,247,230,149,9178,5
352.0,6.0,245,229,153,9178,5
314.0,14.0,244,228,150,9178,5
306.0,20.0,245,229,155,9178,5
304.0,22.0,243,228,151,9178,5
300.0,26.0,246,231,153,9178,5
296.0,28.0,243,226,148,9178,5
430.0,28.0,186,139,97,11252,2
424.0,30.0,186,140,96,11252,2
426.0,32.0,186,139,97,11252,2
420.0,36.0,186,138,97,11252,2
424.0,36.0,186,138,96,11252,2
26.0,42.0,75,48,35,5528,16
158.0,42.0,186,137,98,11252,2
408.0,42.0,189,139,96,11252,2
402.0,46.0,189,139,98,11252,2
410.0,56.0,185,137,96,11252,2
420.0,56.0,185,138,97,11252,2
334.0,58.0,37,55,34,8763,9
622.0,58.0,205,198,195,14275,6
644.0,62.0,203,196,194,14275,6
752.0,62.0,114,196,142,8923,11
560.0,66.0,181,101,33,4156,10
572.0,78.0,182,99,34,4156,10
694.0,78.0,242,232,221,940,6
708.0,80.0,205,197,195,14275,6
356.0,82.0,245,231,149,9178,5
360.0,82.0,246,230,149,9178,5
862.0,82.0,115,195,151,8923,11
706.0,84.0,239,232,222,940,6
62.0,88.0,189,138,99,11252,2
776.0,88.0,205,196,198,14275,6
798.0,90.0,165,176,197,585,11
662.0,94.0,207,199,197,14275,6
672.0,94.0,204,198,195,14275,6
166.0,102.0,188,139,98,11252,2
356.0,102.0,184,139,95,11252,2
786.0,102.0,167,178,195,585,11
840.0,104.0,241,231,224,940,6
40.0,106.0,184,138,99,11252,2
572.0,106.0,182,99,32,4156,10
56.0,108.0,186,137,98,11252,2
572.0,108.0,182,98,32,4156,10
780.0,108.0,205,196,196,14275,6
56.0,110.0,187,137,98,11252,2
572.0,110.0,182,98,33,4156,10
572.0,112.0,183,97,32,4156,10
572.0,114.0,184,97,33,4156,10
174.0,122.0,185,139,98,11252,2
180.0,130.0,188,137,98,11252,2
558.0,132.0,181,99,33,4156,10
526.0,134.0,180,101,34,4156,10
730.0,134.0,240,231,224,940,6
492.0,136.0,180,99,35,4156,10
824.0,142.0,204,197,198,14275,6
930.0,152.0,204,196,199,14275,6
64.0,158.0,187,137,98,11252,2
834.0,158.0,207,196,197,14275,6
466.0,162.0,72,49,35,5528,16
824.0,164.0,204,195,194,14275,6
164.0,178.0,185,138,96,11252,2
168.0,178.0,187,136,98,11252,2
974.0,178.0,208,197,197,14275,6
164.0,180.0,185,140,97,11252,2
988.0,180.0,242,233,222,940,6
988.0,182.0,240,232,222,940,6
774.0,184.0,240,233,222,940,6
90.0,188.0,177,144,103,11386,14
916.0,188.0,239,233,222,940,6
952.0,190.0,165,177,194,585,11
978.0,190.0,203,197,194,14275,6
516.0,192.0,75,48,33,5528,16
732.0,194.0,204,197,198,14275,6
824.0,196.0,207,198,196,14275,6
854.0,196.0,168,178,194,585,11
948.0,206.0,204,198,198,14275,6
950.0,206.0,208,197,196,14275,6
970.0,206.0,241,232,223,940,6
858.0,210.0,207,198,197,14275,6
740.0,212.0,203,196,193,14275,6
800.0,212.0,204,196,195,14275,6
984.0,216.0,203,195,197,14275,6
786.0,218.0,119,149,128,1173,11
964.0,222.0,241,231,223,940,6
844.0,226.0,239,233,223,940,6
722.0,228.0,240,232,222,940,6
712.0,230.0,204,195,193,14275,6
962.0,236.0,204,197,196,14275,6
774.0,240.0,241,232,223,940,6
