x,y,r,g,b,cluster,cluster_cluster
586.0,0.0,178,166,139,4085,5
58.0,4.0,221,217,198,11811,4
62.0,14.0,223,218,200,11811,4
460.0,56.0,221,197,186,7157,1
262.0,74.0,201,176,156,8158,12
692.0,84.0,223,218,196,11811,4
688.0,86.0,224,219,197,11811,4
686.0,88.0,223,218,199,11811,4
684.0,90.0,223,219,198,11811,4
682.0,92.0,224,220,199,11811,4
678.0,94.0,224,217,198,11811,4
680.0,94.0,223,217,197,11811,4
704.0,96.0,147,170,102,12619,5
748.0,102.0,127,148,70,1309,3
820.0,106.0,177,166,138,4085,5
840.0,112.0,178,166,138,4085,5
652.0,116.0,224,218,197,11811,4
634.0,120.0,223,218,198,11811,4
636.0,120.0,222,218,197,11811,4
638.0,120.0,222,217,197,11811,4
640.0,120.0,223,219,198,11811,4
642.0,120.0,224,220,200,11811,4
644.0,120.0,223,219,199,11811,4
646.0,120.0,222,218,198,11811,4
260.0,132.0,220,197,185,7157,1
630.0,142.0,148,170,102,12619,5
630.0,144.0,147,170,101,12619,5
632.0,144.0,147,170,101,12619,5
634.0,144.0,147,170,102,12619,5
636.0,144.0,146,170,101,12619,5
638.0,144.0,146,170,102,12619,5
792.0,144.0,148,172,102,12619,5
818.0,144.0,147,171,103,12619,5
820.0,144.0,147,170,102,12619,5
628.0,146.0,147,170,102,12619,5
634.0,146.0,147,171,102,12619,5
638.0,146.0,147,171,103,12619,5
640.0,146.0,147,171,104,12619,5
752.0,146.0,147,170,102,12619,5
628.0,148.0,148,170,102,12619,5
630.0,148.0,148,170,102,12619,5
632.0,148.0,147,171,102,12619,5
634.0,148.0,148,171,103,12619,5
636.0,148.0,148,172,103,12619,5
628.0,150.0,148,170,101,12619,5
630.0,150.0,147,170,101,12619,5
632.0,150.0,147,171,102,12619,5
634.0,150.0,147,171,102,12619,5
632.0,152.0,148,171,103,12619,5
644.0,152.0,149,172,103,12619,5
644.0,154.0,148,172,103,12619,5
646.0,154.0,147,171,103,12619,5
650.0,156.0,147,171,102,12619,5
656.0,156.0,147,171,102,12619,5
650.0,158.0,148,171,103,12619,5
656.0,158.0,147,171,103,12619,5
658.0,158.0,148,171,102,12619,5
648.0,160.0,148,172,103,12619,5
650.0,160.0,147,171,102,12619,5
652.0,160.0,147,170,101,12619,5
646.0,162.0,148,171,103,12619,5
648.0,162.0,147,170,102,12619,5
650.0,162.0,146,170,101,12619,5
654.0,162.0,146,170,102,12619,5
650.0,164.0,146,170,102,12619,5
708.0,168.0,126,145,71,1309,3
716.0,168.0,126,147,71,1309,3
610.0,170.0,126,145,70,1309,3
678.0,214.0,125,145,70,1309,3
676.0,216.0,126,146,70,1309,3
678.0,220.0,127,146,70,1309,3
12.0,236.0,183,175,175,10972,1
14.0,238.0,183,173,174,10972,1
16.0,240.0,182,173,173,10972,1
18.0,242.0,185,174,172,10972,1
240.0,252.0,178,167,139,4085,5
22.0,254.0,184,174,170,10972,1
610.0,254.0,148,171,102,12619,5
22.0,264.0,184,171,172,10972,1
22.0,266.0,183,170,171,10972,1
22.0,268.0,184,170,172,10972,1
304.0,294.0,174,151,138,10457,5
296.0,312.0,17,29,40,14653,11
72.0,322.0,172,153,138,10457,5
620.0,326.0,51,50,55,13325,15
300.0,336.0,19,28,40,14653,11
296.0,356.0,65,9,25,7843,19
472.0,388.0,16,34,39,14653,11
454.0,390.0,208,32,68,5404,9
568.0,392.0,219,4,23,11745,16
572.0,392.0,219,3,23,11745,16
434.0,394.0,210,28,70,5404,9
278.0,400.0,50,50,56,13325,15
472.0,404.0,16,32,38,14653,11
488.0,406.0,208,30,70,5404,9
546.0,410.0,112,7,36,4307,7
90.0,412.0,201,175,157,8158,12
560.0,418.0,113,7,36,4307,7
460.0,420.0,49,53,57,13325,15
630.0,422.0,67,11,28,7843,19
648.0,424.0,111,8,36,4307,7
108.0,438.0,201,176,156,8158,12
106.0,444.0,201,176,159,8158,12
126.0,444.0,202,175,157,8158,12
580.0,444.0,50,52,56,13325,15
8.0,454.0,203,178,157,8158,12
654.0,462.0,86,46,67,4271,13
100.0,484.0,201,178,157,8158,12
102.0,484.0,202,179,157,8158,12
104.0,484.0,201,178,156,8158,12
472.0,484.0,57,60,69,5142,13
340.0,488.0,88,57,70,2473,13
