x,y,r,g,b,cluster,cluster_cluster
308.0,0.0,228,226,225,10564,10
308.0,2.0,228,226,225,10564,10
308.0,4.0,228,226,225,10564,10
472.0,4.0,225,137,113,7218,4
308.0,6.0,228,226,225,10564,10
508.0,20.0,210,200,184,2574,2
504.0,22.0,209,201,186,2574,2
590.0,26.0,172,186,148,9273,17
406.0,36.0,211,201,185,2574,2
404.0,38.0,223,213,201,14011,2
1000.0,38.0,231,229,228,7930,10
608.0,56.0,221,140,115,7218,4
46.0,70.0,223,215,201,14011,2
48.0,70.0,222,215,201,14011,2
308.0,72.0,231,229,228,7930,10
308.0,74.0,231,229,228,7930,10
306.0,76.0,227,226,225,10564,10
308.0,76.0,231,229,228,7930,10
306.0,78.0,227,226,225,10564,10
308.0,78.0,231,229,228,7930,10
306.0,80.0,227,226,225,10564,10
308.0,80.0,231,229,228,7930,10
306.0,82.0,227,226,225,10564,10
308.0,82.0,231,229,228,7930,10
306.0,84.0,227,226,225,10564,10
306.0,86.0,228,226,224,10564,10
306.0,88.0,228,226,225,10564,10
532.0,88.0,227,224,224,10564,10
798.0,88.0,175,186,148,9273,17
306.0,92.0,228,226,226,10564,10
898.0,94.0,25,42,1,3955,8
496.0,98.0,233,229,227,7930,10
880.0,98.0,209,200,184,2574,2
498.0,100.0,232,229,227,7930,10
306.0,102.0,231,229,228,7930,10
494.0,104.0,232,230,228,7930,10
494.0,106.0,232,230,228,7930,10
304.0,108.0,227,226,224,10564,10
846.0,108.0,175,186,147,9273,17
304.0,110.0,228,226,225,10564,10
852.0,110.0,175,185,147,9273,17
854.0,110.0,176,186,148,9273,17
494.0,112.0,228,226,225,10564,10
746.0,112.0,160,190,150,3782,11
902.0,112.0,24,39,0,3955,8
304.0,114.0,228,226,225,10564,10
494.0,114.0,227,225,224,10564,10
496.0,114.0,228,226,225,10564,10
622.0,114.0,124,153,82,2905,9
624.0,116.0,123,152,82,2905,9
304.0,118.0,228,226,225,10564,10
624.0,120.0,124,153,84,2905,9
302.0,124.0,227,225,224,10564,10
304.0,124.0,231,229,228,7930,10
302.0,126.0,228,226,225,10564,10
628.0,130.0,160,188,151,3782,11
950.0,130.0,27,17,8,10129,8
298.0,132.0,228,225,224,10564,10
300.0,132.0,228,226,225,10564,10
302.0,132.0,231,229,228,7930,10
356.0,132.0,228,226,225,10564,10
598.0,132.0,173,186,147,9273,17
298.0,134.0,228,226,226,10564,10
358.0,134.0,232,229,228,7930,10
952.0,134.0,27,17,4,10129,8
358.0,136.0,228,226,225,10564,10
34.0,140.0,224,214,201,14011,2
300.0,142.0,231,229,228,7930,10
296.0,150.0,232,230,228,7930,10
360.0,154.0,227,224,225,10564,10
362.0,154.0,229,224,225,10564,10
366.0,156.0,233,228,227,7930,10
824.0,160.0,173,187,147,9273,17
928.0,160.0,27,39,0,3955,8
374.0,162.0,232,229,227,7930,10
374.0,164.0,232,229,227,7930,10
372.0,166.0,231,229,228,7930,10
370.0,168.0,231,228,228,7930,10
372.0,168.0,229,226,226,10564,10
380.0,168.0,231,229,228,7930,10
920.0,168.0,174,184,149,9273,17
372.0,170.0,228,226,226,10564,10
378.0,170.0,228,226,225,10564,10
382.0,170.0,232,229,228,7930,10
840.0,170.0,210,201,186,2574,2
382.0,172.0,231,229,228,7930,10
348.0,178.0,228,226,226,10564,10
352.0,178.0,229,226,226,10564,10
354.0,178.0,228,226,226,10564,10
356.0,178.0,228,225,225,10564,10
980.0,178.0,91,61,52,14598,13
772.0,180.0,30,18,5,10129,8
328.0,182.0,231,229,228,7930,10
976.0,186.0,29,15,11,10129,8
918.0,188.0,28,38,2,3955,8
806.0,192.0,174,187,147,9273,17
374.0,194.0,231,229,228,7930,10
456.0,194.0,229,226,226,10564,10
372.0,196.0,232,229,228,7930,10
456.0,196.0,232,228,228,7930,10
398.0,198.0,232,229,227,7930,10
676.0,198.0,122,95,70,7944,13
84.0,200.0,224,213,201,14011,2
84.0,202.0,224,213,201,14011,2
372.0,204.0,232,229,228,7930,10
688.0,204.0,118,95,72,7944,13
908.0,204.0,177,187,149,9273,17
688.0,208.0,119,95,72,7944,13
406.0,210.0,210,200,185,2574,2
688.0,210.0,121,96,70,7944,13
752.0,210.0,161,188,153,3782,11
380.0,212.0,227,226,225,10564,10
192.0,222.0,223,214,202,14011,2
970.0,224.0,161,188,150,3782,11
338.0,236.0,231,229,228,7930,10
338.0,242.0,228,226,223,10564,10
886.0,242.0,125,153,82,2905,9
888.0,242.0,124,151,81,2905,9
888.0,244.0,125,152,82,2905,9
486.0,248.0,93,62,50,14598,13
738.0,248.0,173,186,148,9273,17
246.0,252.0,218,183,152,950,4
248.0,252.0,217,182,151,950,4
384.0,264.0,160,187,151,3782,11
380.0,266.0,160,189,149,3782,11
378.0,268.0,160,189,150,3782,11
654.0,268.0,120,95,71,7944,13
244.0,274.0,217,181,151,950,4
244.0,276.0,217,182,153,950,4
76.0,278.0,223,213,201,14011,2
244.0,278.0,217,183,153,950,4
416.0,278.0,173,185,150,9273,17
244.0,280.0,217,183,153,950,4
344.0,280.0,232,229,228,7930,10
244.0,282.0,216,182,152,950,4
344.0,282.0,232,229,227,7930,10
344.0,284.0,232,229,227,7930,10
602.0,284.0,91,60,51,14598,13
344.0,286.0,232,229,227,7930,10
344.0,288.0,232,229,227,7930,10
344.0,290.0,232,229,227,7930,10
994.0,292.0,91,62,54,14598,13
994.0,294.0,92,63,55,14598,13
930.0,298.0,27,16,6,10129,8
